Energy,Thickness,Angle,Count,A,x0
100,7,5.0,419,6.4107945445169925,49.29670540796059
100,7,10.0,2154,34.97744575556251,37.06374915793409
100,7,14.999999999999998,4442,83.37788820332179,30.91636157325861
100,7,25.0,8909,194.4067217340799,25.55468576201192
100,7,20.0,6743,132.72944075869216,28.77508464394592
100,7,45.0,15778,463.92597985739167,18.3578763706495
100,7,35.0,12730,326.0500713718036,21.38556334383822
100,7,40.0,14309,392.4201957576927,19.83909629051492
100,7,30.0,10929,258.2188506908818,23.402244586235195
100,7,59.99999999999999,19009,664.0379702570419,15.092663389563342
100,7,55.0,18118,601.2993742232258,16.009765801137043
100,7,50.0,17056,534.5438336427064,17.089984297011952
100,7,65.0,19721,721.2016099858592,14.30297788782084
100,7,70.0,20336,777.9615434447203,13.551161844972096
100,7,75.0,20872,834.7963100210114,12.835158114637691
