Energy,Thickness,Count,Rate
5.0,2.0,77,7.7e-05
5.0,0.5,133,0.000133
5.0,3.5,66,6.6e-05
40.0,10.0,38048,0.038048
70.0,1.0,17705,0.017705
70.0,6.0,140928,0.140928
70.0,2.0,52809,0.052809
70.0,4.0,115495,0.115495
70.0,3.0,87886,0.087886
70.0,1.5,34174,0.034174
40.0,9.5,39793,0.039793
70.0,8.5,130576,0.130576
70.0,3.5,102533,0.102533
5.0,10.0,26,2.6e-05
70.0,5.0,132457,0.132457
70.0,8.0,134519,0.134519
70.0,9.0,126096,0.126096
70.0,7.0,140484,0.140484
70.0,7.5,137604,0.137604
100.0,2.0,71683,0.071683
70.0,4.5,125396,0.125396
70.0,5.5,137439,0.137439
100.0,1.0,23246,0.023246
70.0,6.5,141150,0.14115
5.0,4.5,56,5.6e-05
100.0,0.5,6773,0.006773
70.0,9.5,121181,0.121181
100.0,3.0,123940,0.12394
100.0,2.5,98423,0.098423
70.0,10.0,116710,0.11671
100.0,5.5,214219,0.214219
100.0,1.5,45950,0.04595
100.0,6.0,223003,0.223003
100.0,5.0,202152,0.202152
5.0,5.5,61,6.1e-05
100.0,9.5,216155,0.216155
100.0,4.5,188138,0.188138
100.0,7.5,231666,0.231666
100.0,8.5,227112,0.227112
100.0,6.5,229242,0.229242
100.0,10.0,210111,0.210111
100.0,7.0,231824,0.231824
5.0,8.5,28,2.8e-05
100.0,9.0,222087,0.222087
100.0,8.0,229929,0.229929
100.0,3.5,147927,0.147927
100.0,4.0,169664,0.169664
5.0,7.5,38,3.8e-05
5.0,7.0,45,4.5e-05
5.0,8.0,27,2.7e-05
10.0,4.5,1239,0.001239
10.0,1.5,1783,0.001783
5.0,1.5,98,9.8e-05
10.0,3.0,1480,0.00148
10.0,0.5,669,0.000669
5.0,9.0,32,3.2e-05
10.0,2.0,1684,0.001684
10.0,1.0,1568,0.001568
10.0,5.0,1145,0.001145
5.0,9.5,16,1.6e-05
10.0,8.0,841,0.000841
10.0,2.5,1632,0.001632
10.0,9.5,744,0.000744
5.0,1.0,104,0.000104
10.0,3.5,1377,0.001377
10.0,10.0,718,0.000718
10.0,4.0,1301,0.001301
10.0,8.5,853,0.000853
15.0,0.5,1068,0.001068
15.0,1.0,3237,0.003237
10.0,9.0,825,0.000825
10.0,6.0,1031,0.001031
10.0,7.0,959,0.000959
10.0,6.5,1040,0.00104
5.0,2.5,88,8.8e-05
10.0,5.5,1063,0.001063
15.0,2.5,6102,0.006102
10.0,7.5,915,0.000915
15.0,10.0,2875,0.002875
15.0,6.5,3996,0.003996
15.0,8.0,3430,0.00343
15.0,4.0,5253,0.005253
15.0,1.5,5064,0.005064
15.0,7.0,3792,0.003792
15.0,3.5,5586,0.005586
5.0,6.5,34,3.4e-05
15.0,4.5,4927,0.004927
15.0,2.0,6001,0.006001
15.0,9.5,2910,0.00291
20.0,2.5,12431,0.012431
20.0,5.5,10504,0.010504
15.0,8.5,3314,0.003314
15.0,7.5,3525,0.003525
20.0,3.5,12841,0.012841
15.0,3.0,5944,0.005944
20.0,0.5,1590,0.00159
5.0,3.0,73,7.3e-05
20.0,4.5,11683,0.011683
20.0,1.5,8099,0.008099
15.0,6.0,4349,0.004349
15.0,5.0,4697,0.004697
15.0,5.5,4463,0.004463
20.0,3.0,13091,0.013091
20.0,8.5,7895,0.007895
15.0,9.0,3109,0.003109
20.0,2.0,10895,0.010895
20.0,6.5,9317,0.009317
5.0,4.0,80,8e-05
20.0,4.0,12325,0.012325
20.0,1.0,4589,0.004589
20.0,7.0,8963,0.008963
20.0,6.0,9959,0.009959
20.0,9.0,7238,0.007238
20.0,8.0,8089,0.008089
20.0,5.0,11109,0.011109
20.0,7.5,8555,0.008555
20.0,9.5,6914,0.006914
40.0,0.5,3295,0.003295
5.0,5.0,50,5e-05
20.0,10.0,6586,0.006586
40.0,1.0,10521,0.010521
40.0,1.5,19773,0.019773
40.0,3.0,44940,0.04494
40.0,2.0,29107,0.029107
40.0,2.5,37582,0.037582
40.0,5.0,55590,0.05559
40.0,4.5,55359,0.055359
40.0,4.0,53172,0.053172
40.0,6.0,53946,0.053946
5.0,6.0,51,5.1e-05
40.0,3.5,50209,0.050209
40.0,7.0,50233,0.050233
40.0,6.5,52288,0.052288
40.0,7.5,48157,0.048157
40.0,8.0,45880,0.04588
40.0,9.0,41445,0.041445
40.0,8.5,43923,0.043923
70.0,0.5,5237,0.005237
70.0,2.5,70625,0.070625
40.0,5.5,55155,0.055155
