Energy,Thickness,A,x0,Count
100.0,0.5,,16.355679023257036,482.0
100.0,1.0,,16.024482799985257,1852.0
100.0,1.5,,15.34237034600422,3881.0
100.0,2.0,,15.468180417493992,6210.0
100.0,2.5,,15.175950224689489,8911.0
100.0,3.0,,15.093181119443011,11130.0
100.0,3.5,,14.936286402466996,13435.0
100.0,4.0,,14.227567523538996,15550.0
100.0,4.5,,14.014123203930554,17174.0
100.0,5.0,,13.580631995269808,18965.0
100.0,5.5,,13.632457889063616,20040.0
100.0,6.0,,13.072948969732114,20928.0
100.0,6.5,,12.777162104645434,21506.0
100.0,7.0,,-814518417.3675485,21748.0
100.0,7.5,,-831520962.5099204,21926.0
100.0,8.0,,-512908602.1488372,21538.0
100.0,8.5,,11.829287753828371,21211.0
100.0,9.0,,11.594823466881008,20816.0
100.0,9.5,,11.53925444495628,20264.0
100.0,10.0,,11.149675282028038,19974.0
40.0,0.5,,11.220664708356605,220.0
40.0,1.0,,10.074524526937042,793.0
40.0,1.5,,9.319204212655013,1572.0
40.0,2.0,,8.835343181626767,2376.0
40.0,2.5,,8.207727179990822,3214.0
40.0,3.0,,7.98752241657264,3931.0
40.0,3.5,,-454992907.0912361,4365.0
40.0,4.0,,-277539819.83165467,4737.0
40.0,4.5,,-860936171.0815246,4874.0
40.0,5.0,,-467312183.3143371,4988.0
70.0,0.5,,15.287843308428704,348.0
40.0,5.5,,-411964945.1321086,4903.0
70.0,1.0,,13.571080198340365,1368.0
40.0,6.0,,-436386184.0078747,4701.0
70.0,1.5,,13.15585009753258,2826.0
40.0,6.5,,-444242440.0271831,4610.0
70.0,2.0,,12.889330439427772,4506.0
40.0,7.0,,-316040185.1916853,4353.0
70.0,2.5,,-596250658.7623475,6181.0
40.0,7.5,,-292244393.1969931,4243.0
70.0,3.0,,12.388849576841189,7829.0
40.0,8.0,,-292192266.5730128,4063.0
70.0,3.5,,12.036778650933694,9184.0
40.0,8.5,,6.86766379706927,3796.0
40.0,9.0,,7.23134415551403,3539.0
70.0,4.0,,11.644797757515956,10527.0
40.0,9.5,,-280801428.7089637,3460.0
70.0,4.5,,11.413683176716065,11409.0
40.0,10.0,,7.01866281170763,3299.0
70.0,5.0,,11.132161428464231,12012.0
70.0,5.5,,10.936203762961677,12697.0
70.0,6.0,,10.612916610248568,13077.0
70.0,6.5,,10.565032688950833,13034.0
70.0,7.0,,10.263619864721097,12856.0
70.0,7.5,,9.969996078222062,12638.0
70.0,8.0,,9.916016297723436,12265.0
70.0,8.5,,9.71487691155494,12049.0
