Energy,Thickness,A,x0,Count
51.0,5.0,,8.865561429057841,786.0
50.0,5.0,,9.111483874747217,726.0
50.0,5.5,,8.378616791519258,775.0
50.0,6.0,,8.980390380492238,761.0
50.0,6.5,,8.325338449898883,727.0
50.0,7.0,,7.749915170621011,718.0
50.0,7.5,,7.868552575393239,649.0
50.0,8.0,,7.902627495850676,586.0
50.0,9.0,,7.597194137711001,496.0
50.0,8.5,,8.29312951489332,549.0
50.0,9.5,,6.57495880489935,461.0
50.0,10.0,,7.665283444079539,416.0
51.0,5.5,,9.00783205066452,792.0
51.0,6.0,,9.01554527424961,780.0
51.0,6.5,,8.623135001156342,767.0
51.0,7.0,,8.024355184517221,790.0
51.0,7.5,,8.577469635259794,685.0
52.0,5.0,,9.469828544843498,833.0
52.0,5.5,,9.176543319001954,839.0
51.0,8.0,,7.94163651228174,666.0
51.0,8.5,,8.022046213392635,620.0
51.0,9.0,,7.394844592361695,576.0
52.0,6.0,,8.63055983517889,838.0
51.0,9.5,,7.759557959564624,485.0
51.0,10.0,,7.837002469838517,461.0
52.0,6.5,,8.565771464574826,804.0
52.0,7.0,,7.943299483190321,785.0
52.0,7.5,,8.200309542741756,678.0
53.0,5.0,,9.683270757245984,844.0
53.0,5.5,,8.688439639325402,869.0
52.0,8.0,,7.167873429077342,653.0
52.0,8.5,,7.284246710374003,624.0
52.0,9.0,,8.076547083317141,573.0
53.0,6.0,,9.11921917235764,865.0
52.0,9.5,,7.884756934731913,521.0
53.0,6.5,,8.6353149004482,817.0
52.0,10.0,,8.600435547673083,474.0
53.0,7.0,,8.80807352378911,832.0
53.0,7.5,,8.058506513333814,787.0
54.0,5.0,,9.464083540228753,895.0
54.0,5.5,,9.1757022760818,908.0
53.0,8.0,,8.045200867201652,690.0
53.0,8.5,,7.771916266473224,678.0
54.0,6.0,,8.789333845890848,893.0
53.0,9.0,,7.943373548099068,663.0
54.0,6.5,,8.61964004447034,840.0
53.0,9.5,,7.602764790679751,548.0
54.0,7.0,,8.502520852554014,832.0
53.0,10.0,,7.706547201975597,526.0
54.0,7.5,,8.259613675165326,802.0
54.0,8.0,,9.190697380592544,726.0
55.0,5.0,,9.962414542710489,925.0
